# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	14618
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=2 d=0.952922 t=14618
jian dan 	简单	c=15 d=4.69638 t=14618
jian dao 	见到	c=1 d=0.865022 t=14618
jian ge 	间隔	c=1 d=0.951229 t=14618
jian hua wei 	简化为	c=1 d=0.822835 t=14618
jian ji 	剪辑	c=2 d=1.72227 t=14618
jian jie 	简洁	c=7 d=2.69388 t=14618
jian kang de 	健康地	c=1 d=0.625002 t=14618
jian kang du 	健康度	c=1 d=0.923116 t=14618
jian kang zhuang kuang 	健康状况	c=1 d=0.965605 t=14618
jian ku 	艰苦	c=1 d=0.524663 t=14618
jian li 	建立	c=3 d=1.81533 t=14618
jian li 	简历	c=3 d=1.6985 t=14618
jian li yu 	建立于	c=1 d=0.618783 t=14618
jian li zai 	建立在	c=1 d=0.65377 t=14618
jian lou 	简陋	c=1 d=0.873716 t=14618
jian mian 	见面	c=1 d=0.913931 t=14618
jian ming 	简明	c=3 d=2.24338 t=14618
jian mo 	建模	c=1 d=0.213312 t=14618
jian nan 	艰难	c=1 d=0.918512 t=14618
jian pan 	键盘	c=9 d=5.45478 t=14618
jian rong 	兼容	c=1 d=0.918512 t=14618
jian rong xing 	兼容性	c=1 d=0.847894 t=14618
jian shao 	减少	c=2 d=0.755784 t=14618
jian she 	建设	c=3 d=1.96152 t=14618
jian shen guan 	健身馆	c=1 d=0.878095 t=14618
jian shu 	简述	c=1 d=0.97531 t=14618
jian ti 	简体	c=2 d=1.77652 t=14618
jian tie ban 	剪贴板	c=18 d=8.91941 t=14618
jian ting 	监听	c=2 d=1.68045 t=14618
jian tou 	箭头	c=1 d=1.02704 t=14618
jian wei 	键位	c=4 d=2.82562 t=14618
jian xi 	间隙	c=1 d=0.634448 t=14618
jian xing 	践行	c=1 d=0.97531 t=14618
jian yi 	建议	c=4 d=2.5206 t=14618
jian yue 	简约	c=1 d=0.985112 t=14618
jian zheng le 	见证了	c=1 d=0.826959 t=14618
jiang 	奖	c=1 d=0.214381 t=14618
jiang 	将	c=4 d=1.70352 t=14618
jiang 	讲	c=7 d=3.46552 t=14618
jiang de 	讲的	c=3 d=1.76502 t=14618
jiang hao 	讲好	c=1 d=0.970446 t=14618
jiang hua 	讲话	c=1 d=0.332871 t=14618
jiang jie 	讲解	c=0 d=0.0852144 t=14618
jiang jie yi xia 	讲解一下	c=1 d=0.856415 t=14618
jiang nan 	江南	c=2 d=1.77404 t=14618
jiang nan da xue 	江南大学	c=16 d=8.56227 t=14618
jiang sheng 	降生	c=0 d=0.0802519 t=14618
jiang sheng lai 	降生来	c=1 d=0.806541 t=14618
jiang shu 	讲述	c=1 d=0.579842 t=14618
jiang su 	江苏	c=1 d=0.980199 t=14618
jiang su sheng 	江苏省	c=2 d=0.759572 t=14618
jiang wen 	降温	c=1 d=0.970446 t=14618
jiang xia qu 	降下去	c=1 d=1 t=14618
jiang xue jin 	奖学金	c=1 d=0.343009 t=14618
jiang yi 	讲义	c=1 d=0.826959 t=14618
jiao 	叫	c=6 d=2.77079 t=14618
jiao 	教	c=1 d=0.810584 t=14618
jiao 	较	c=1 d=0.67368 t=14618
jiao ao 	骄傲	c=1 d=0.477114 t=14618
jiao ben 	脚本	c=9 d=5.91869 t=14618
jiao cai 	教材	c=4 d=1.84434 t=14618
jiao cha 	交叉	c=3 d=1.85861 t=14618
jiao cheng 	教程	c=39 d=19.9222 t=14618
jiao dian 	交点	c=2 d=1.24162 t=14618
jiao dian 	焦点	c=1 d=0.847894 t=14618
jiao du 	角度	c=2 d=1.36399 t=14618
jiao huan 	交换	c=3 d=2.48916 t=14618
jiao jiao 	教教	c=1 d=0.97531 t=14618
jiao liu 	交流	c=6 d=4.15817 t=14618
jiao liu guo 	交流过	c=1 d=0.913931 t=14618
jiao lv 	焦虑	c=4 d=1.13784 t=14618
jiao su du 	角速度	c=1 d=0.937067 t=14618
jiao tong 	交通	c=1 d=0.628135 t=14618
jiao wei 	较为	c=3 d=1.54521 t=14618
jiao wo 	教我	c=1 d=0.980199 t=14618
jiao xue 	教学	c=2 d=1.88692 t=14618
jie 	借	c=2 d=1.81421 t=14618
jie 	姐	c=0 d=0.0995012 t=14618
jie 	接	c=3 d=2.12683 t=14618
jie 	杰	c=4 d=2.62289 t=14618
jie 	节	c=1 d=0.937067 t=14618
jie 	街	c=1 d=0.916734 t=14618
jie chu 	接触	c=1 d=0.831104 t=14618
jie dao 	街道	c=1 d=0.895834 t=14618
jie dian chang shu 	介电常数	c=1 d=0.965605 t=14618
jie duan 	阶段	c=3 d=0.555948 t=14618
jie duan le 	阶段了	c=1 d=0.900325 t=14618
jie fa 	解法	c=1 d=0.396531 t=14618
jie fang cheng 	解方程	c=5 d=1.9657 t=14618
jie gou 	结构	c=3 d=2.27276 t=14618
jie gui 	接轨	c=1 d=0.396531 t=14618
jie guo 	结果	c=6 d=1.82122 t=14618
jie guo le 	结果了	c=1 d=0.771052 t=14618
jie he 	结合	c=1 d=0.491644 t=14618
jie jin 	接近	c=1 d=0.548812 t=14618
jie jing 	结晶	c=1 d=0.778801 t=14618
jie ju 	结局	c=2 d=0.759572 t=14618
jie jue 	解决	c=39 d=10.646 t=14618
jie jue de 	解决的	c=1 d=0.532592 t=14618
jie jue le 	解决了	c=1 d=0.486752 t=14618
jie jue ma 	解决吗	c=1 d=0.318224 t=14618
jie jue yi xia 	解决一下	c=1 d=0.215456 t=14618
jie ma 	解码	c=1 d=0.923116 t=14618
jie mian 	截面	c=3 d=1.9316 t=14618
jie mian 	界面	c=4 d=2.82387 t=14618
jie ni 	接你	c=1 d=0.771052 t=14618
jie pi 	洁癖	c=0 d=0.0818731 t=14618
jie shao 	介绍	c=4 d=2.98464 t=14618
jie shao guo 	介绍过	c=1 d=0.429557 t=14618
jie shi 	皆是	c=1 d=0.822835 t=14618
jie shi 	解释	c=2 d=1.24806 t=14618
jie shi le 	解释了	c=1 d=0.941765 t=14618
jie shou 	接受	c=2 d=1.95084 t=14618
jie shu 	结束	c=6 d=2.38748 t=14618
jie shu de 	结束的	c=1 d=0.382893 t=14618
jie ti 	解题	c=1 d=0.408608 t=14618
jie tu 	截图	c=9 d=4.72845 t=14618
jie wei 	结尾	c=1 d=0.722527 t=14618
jie xi 	解析	c=3 d=2.94723 t=14618
jie xi yi xia 	解析一下	c=13 d=10.7313 t=14618
jie ya 	解压	c=2 d=1.77772 t=14618
jie ya suo 	解压缩	c=5 d=4.55616 t=14618
jie yi xia 	借一下	c=1 d=0.782705 t=14618
jie zhi 	介质	c=14 d=7.25995 t=14618
jie zhi 	截止	c=1 d=0.965605 t=14618
jie zhi 	截至	c=1 d=0.814647 t=14618
jie zhi zhong 	介质中	c=1 d=0.99005 t=14618
jie zou 	节奏	c=1 d=0.99005 t=14618
jin 	仅	c=1 d=0.557106 t=14618
jin 	尽	c=3 d=1.92654 t=14618
jin 	近	c=2 d=1.75194 t=14618
jin bu qu le 	进不去了	c=1 d=1 t=14618
jin cheng 	进程	c=1 d=0.937067 t=14618
jin du 	劲度	c=1 d=0.995012 t=14618
jin fu 	紧缚	c=2 d=1.87603 t=14618
jin guan 	尽管	c=6 d=1.988 t=14618
jin ji 	紧急	c=1 d=0.67032 t=14618
jin jie 	进阶	c=1 d=0.831104 t=14618
jin jin 	仅仅	c=1 d=0.364219 t=14618
jin ju li 	近距离	c=1 d=0.826959 t=14618
jin ke neng 	尽可能	c=1 d=0.856415 t=14618
jin liang 	尽量	c=3 d=1.83461 t=14618
jin mi 	紧密	c=1 d=0.860708 t=14618
jin nian 	今年	c=1 d=0.729789 t=14618
jin qu 	进去	c=6 d=3.89712 t=14618
jin qu de 	进去的	c=1 d=0.985112 t=14618
jin ru 	进入	c=3 d=1.51063 t=14618
jin ru le 	进入了	c=4 d=2.46699 t=14618
jin shan yin shan 	金山银山	c=1 d=0.891366 t=14618
jin shu 	金属	c=1 d=0.995012 t=14618
jin si 	近似	c=3 d=1.21056 t=14618
jin tian 	今天	c=4 d=1.56911 t=14618
jin xing 	进行	c=28 d=6.04228 t=14618
jin xing le 	进行了	c=1 d=0.501576 t=14618
jin yi bu 	进一步	c=1 d=0.882497 t=14618
jin zhang 	紧张	c=1 d=0.904837 t=14618
jing 	晶	c=1 d=0.995012 t=14618
jing 	静	c=1 d=0.913931 t=14618
jing chang 	经常	c=1 d=0.937067 t=14618
jing dian 	景点	c=6 d=3.21821 t=14618
jing dian 	经典	c=4 d=3.73515 t=14618
jing dian 	静电	c=3 d=1.79165 t=14618
jing dian chang 	静电场	c=1 d=1 t=14618
jing dian shi 	静电势	c=3 d=2.56506 t=14618
jing du 	精度	c=1 d=0.275271 t=14618
jing ge 	晶格	c=1 d=0.951229 t=14618
jing ji 	经济	c=4 d=2.1404 t=14618
jing ji fa zhan 	经济发展	c=1 d=0.909373 t=14618
jing ju 	京剧	c=1 d=0.486752 t=14618
jing li 	经历	c=0 d=0.0941765 t=14618
jing qu 	景区	c=1 d=0.657047 t=14618
jing que 	精确	c=1 d=0.88692 t=14618
jing sai 	竞赛	c=1 d=0.843665 t=14618
jing shen nei han 	精神内涵	c=1 d=0.484325 t=14618
jing suan shi 	精算师	c=1 d=0.810584 t=14618
jing xiang 	镜像	c=6 d=4.63751 t=14618
jing yan 	经验	c=1 d=1 t=14618
jing yang 	敬仰	c=1 d=0.557106 t=14618
jing zheng li 	竞争力	c=1 d=0.904837 t=14618
jing zhi 	静止	c=1 d=0.860708 t=14618
jiu 	久	c=0 d=0.0937067 t=14618
jiu 	就	c=31 d=7.27601 t=14618
jiu bei 	就被	c=1 d=0.308819 t=14618
jiu bie guan 	就别管	c=1 d=0.99005 t=14618
jiu chu le 	就出了	c=1 d=0.256661 t=14618
jiu du 	就读	c=1 d=1.02192 t=14618
jiu du jing li 	就读经历	c=1 d=0.946485 t=14618
jiu du yu 	就读于	c=1 d=0.183599 t=14618
jiu gen 	就跟	c=1 d=0.697676 t=14618
jiu guo 	救国	c=1 d=0.900325 t=14618
jiu hao le 	就好了	c=3 d=1.72044 t=14618
jiu hui 	就会	c=4 d=1.95786 t=14618
jiu jie 	纠结	c=1 d=0.927743 t=14618
jiu ke yi 	就可以	c=1 d=1.02704 t=14618
jiu ke yi qu 	就可以去	c=1 d=0.951229 t=14618
jiu lian 	就连	c=1 d=0.423162 t=14618
jiu neng 	就能	c=5 d=1.76265 t=14618
jiu shi 	就使	c=0 d=0.0980199 t=14618
jiu shi 	就是	c=23 d=7.40874 t=14618
jiu shi wo 	就是我	c=0 d=0.0767206 t=14618
jiu shi wo le 	就是我了	c=1 d=0.771052 t=14618
jiu shi yong 	就使用	c=1 d=0.985112 t=14618
jiu shi zhe ge 	就是这个	c=1 d=0.941765 t=14618
jiu shi zhe yang 	就是这样	c=1 d=0.416862 t=14618
jiu suan 	就算	c=3 d=1.14188 t=14618
jiu wan jiu wan 	就玩就玩	c=1 d=1 t=14618
jiu xiang 	就想	c=2 d=1.8422 t=14618
jiu xing 	就行	c=2 d=1.77077 t=14618
jiu xing le 	就行了	c=1 d=0.995012 t=14618
jiu ye 	就业	c=1 d=0.794534 t=14618
jiu ye gang wei 	就业岗位	c=1 d=0.752014 t=14618
jiu yi jing 	就已经	c=1 d=0.909373 t=14618
jiu yong 	就用	c=1 d=0.960789 t=14618
ju 	句	c=1 d=0.946485 t=14618
ju 	据	c=1 d=0.744532 t=14618
ju bei 	具备	c=0 d=0.0980199 t=14618
ju chang 	剧场	c=0 d=0.0995012 t=14618
ju da 	巨大	c=2 d=1.18645 t=14618
ju jue 	拒绝	c=2 d=0.873716 t=14618
ju li 	距离	c=12 d=5.6586 t=14618
ju qing 	剧情	c=2 d=1.91393 t=14618
ju ti 	具体	c=6 d=2.88813 t=14618
ju ti le 	具体了	c=1 d=0.856415 t=14618
ju xian yu 	局限于	c=1 d=0.786628 t=14618
ju xing 	巨星	c=1 d=0.491644 t=14618
ju you 	具有	c=2 d=1.51094 t=14618
ju zhen 	矩阵	c=1 d=0.394554 t=14618
ju zi 	句子	c=1 d=0.543351 t=14618
juan 	卷	c=1 d=0.697676 t=14618
jue da bu fen 	绝大部分	c=1 d=0.774916 t=14618
jue de 	觉得	c=5 d=1.61287 t=14618
jue ding 	决定	c=2 d=1.74298 t=14618
jue dui 	绝对	c=1 d=0.733447 t=14618
jue jia 	绝佳	c=1 d=0.715338 t=14618
jue xin 	决心	c=1 d=0.32628 t=14618
jun heng 	均衡	c=1 d=0.778801 t=14618
jun shi 	军师	c=1 d=0.826959 t=14618
jun xun 	军训	c=2 d=1.79967 t=14618
jun yun 	均匀	c=3 d=1.89335 t=14618
jun zi 	君子	c=1 d=0.965605 t=14618
ka 	卡	c=2 d=1.86321 t=14618
ka dun 	卡顿	c=1 d=0.955997 t=14618
ka nong 	卡农	c=1 d=1 t=14618
kai 	凯	c=3 d=2.44598 t=14618
kai 	开	c=1 d=0.831104 t=14618
kai fa 	开发	c=4 d=1.62057 t=14618
kai fang 	开放	c=1 d=0.826959 t=14618
kai huai da xiao 	开怀大笑	c=1 d=0.970446 t=14618
kai hui 	开会	c=0 d=0.0737123 t=14618
kai ji 	开机	c=5 d=4.18263 t=14618
kai pi chu 	开辟出	c=1 d=0.524663 t=14618
kai qi 	开启	c=2 d=1.22842 t=14618
kai qi le 	开启了	c=1 d=0.99005 t=14618
kai sa 	凯撒	c=1 d=0.640824 t=14618
kai she le 	开设了	c=1 d=0.995012 t=14618
kai shi 	开始	c=2 d=1.49199 t=14618
kai xin 	开心	c=3 d=1.70785 t=14618
kai yuan 	开源	c=13 d=8.11604 t=14618
kai zhan le 	开展了	c=1 d=0.759572 t=14618
kan 	看	c=17 d=5.28179 t=14618
kan bu dao 	看不到	c=1 d=0.918512 t=14618
kan bu jin 	看不进	c=1 d=0.980199 t=14618
kan bu liao 	看不了	c=1 d=0.955997 t=14618
kan chu 	看出	c=4 d=1.25435 t=14618
kan dao 	看到	c=7 d=2.45128 t=14618
kan dao ge 	看到个	c=1 d=0.891366 t=14618
kan de 	看的	c=2 d=1.8437 t=14618
kan fa 	看法	c=1 d=0.357007 t=14618
kan guo 	看过	c=1 d=0.937067 t=14618
kan jian 	看见	c=1 d=0.429557 t=14618
kan kan 	看看	c=2 d=1.22144 t=14618
kan kan ba 	看看吧	c=1 d=0.927743 t=14618
kan lai 	看来	c=2 d=1.28506 t=14618
kan le 	看了	c=3 d=1.80671 t=14618
kan le yi quan 	看了一圈	c=1 d=0.612626 t=14618
kan ni 	看你	c=1 d=0.946485 t=14618
kan qi lai 	看起来	c=3 d=1.2951 t=14618
kan shu 	看书	c=1 d=0.740818 t=14618
kan tu 	看图	c=1 d=0.913931 t=14618
kan wan 	看完	c=1 d=0.937067 t=14618
kan wo de 	看我的	c=1 d=0.826959 t=14618
kan yi xia 	看一下	c=1 d=0.909373 t=14618
kan zhe 	看着	c=2 d=0.875666 t=14618
kan zuo 	看作	c=1 d=0.878095 t=14618
kang zhan 	抗战	c=2 d=0.916824 t=14618
kao 	考	c=3 d=2.57414 t=14618
kao 	靠	c=2 d=1.66901 t=14618
kao chu 	考出	c=1 d=0.404542 t=14618
kao rou 	烤肉	c=2 d=1.87897 t=14618
kao shi 	考试	c=6 d=2.59016 t=14618
kao wan 	考完	c=2 d=1.92196 t=14618
kao wan yan 	考完研	c=1 d=0.634448 t=14618
kao yan 	考研	c=49 d=19.9227 t=14618
kao yan fen shu xian 	考研分数线	c=1 d=0.980199 t=14618
kao yan fu xi 	考研复习	c=1 d=0.752014 t=14618
kao yan qian 	考研前	c=1 d=0.537944 t=14618
kao yan shi jian biao 	考研时间表	c=1 d=0.802519 t=14618
kao yan ying yu 	考研英语	c=1 d=0.918512 t=14618
ke 	可	c=6 d=4.00275 t=14618
ke 	科	c=1 d=0.927743 t=14618
ke 	课	c=1 d=0.806541 t=14618
ke ai 	可爱	c=2 d=1.2628 t=14618
ke ben 	课本	c=2 d=1.1528 t=14618
ke biao 	课表	c=2 d=1.71613 t=14618
ke cheng 	课程	c=4 d=2.61663 t=14618
ke cheng biao 	课程表	c=4 d=3.28775 t=14618
ke da 	科大	c=1 d=0.822835 t=14618
ke fu 	克服	c=1 d=0.980199 t=14618
ke fu 	客服	c=2 d=1.75411 t=14618
ke huan 	科幻	c=1 d=0.631284 t=14618
ke ji 	科技	c=2 d=1.90248 t=14618
ke jian 	可见	c=1 d=0.501576 t=14618
ke kan dao 	可看到	c=1 d=0.704688 t=14618
ke ke ai ai 	可可爱爱	c=1 d=0.856415 t=14618
ke long 	克隆	c=1 d=0.937067 t=14618
ke neng 	可能	c=10 d=3.27357 t=14618
ke neng ma 	可能吗	c=1 d=0.865022 t=14618
ke ni 	可逆	c=1 d=0.66365 t=14618
ke pu 	科普	c=2 d=1.2472 t=14618
ke qu 	可去	c=1 d=0.83527 t=14618
ke shi 	可是	c=1 d=0.99005 t=14618
ke wu 	可恶	c=2 d=1.49417 t=14618
ke xie de 	可写的	c=1 d=0.364219 t=14618
ke xing 	可行	c=3 d=1.90771 t=14618
ke xue 	科学	c=7 d=2.05265 t=14618
ke xue ji shu 	科学技术	c=0 d=0.0937067 t=14618
ke xue shang wang 	科学上网	c=1 d=0.980199 t=14618
ke xue yu gong cheng 	科学与工程	c=0 d=0.0951229 t=14618
ke yan 	科研	c=3 d=2.28319 t=14618
ke yan fen wei 	科研氛围	c=1 d=0.467666 t=14618
ke yan qian li 	科研潜力	c=1 d=0.913931 t=14618
ke yan qian yue 	科研签约	c=1 d=0.83527 t=14618
ke yan sheng di 	科研圣地	c=1 d=0.390628 t=14618
ke yi 	可以	c=50 d=9.3704 t=14618
ke yi dai 	可以带	c=1 d=0.970446 t=14618
ke yi de hua 	可以的话	c=1 d=0.909373 t=14618
ke yi qu 	可以去	c=1 d=0.869358 t=14618
ke yi shuo 	可以说	c=1 d=0.774916 t=14618
ke yi xuan 	可以选	c=1 d=0.882497 t=14618
ke yi zhi jie 	可以直接	c=1 d=0.790571 t=14618
ke yi zou 	可以走	c=1 d=0.472367 t=14618
ke zhi 	可知	c=1 d=0.786628 t=14618
ke zuo 	可做	c=2 d=1.9605 t=14618
ken ding 	肯定	c=3 d=2.12376 t=14618
keng 	坑	c=1 d=0.946485 t=14618
kong 	空	c=1 d=0.955997 t=14618
kong bu pian 	恐怖片	c=2 d=1.51164 t=14618
kong jian 	空间	c=10 d=4.40705 t=14618
kong jian bu ju 	空间布局	c=1 d=0.625002 t=14618
kong que 	空缺	c=1 d=0.763379 t=14618
kong zhi 	控制	c=4 d=1.9605 t=14618
kou 	口	c=1 d=0.729789 t=14618
ku 	库	c=3 d=1.5942 t=14618
ku gou 	酷狗	c=1 d=0.995012 t=14618
ku men 	苦闷	c=1 d=0.609571 t=14618
ku ta 	库塔	c=0 d=0.0366045 t=14618
ku ta fa 	库塔法	c=1 d=0.891366 t=14618
ku xuan 	酷炫	c=1 d=0.889237 t=14618
kua 	跨	c=0 d=0.0955997 t=14618
kua su 	跨苏	c=1 d=0.798516 t=14618
kuai 	块	c=1 d=0.965605 t=14618
kuai 	快	c=9 d=4.25211 t=14618
kuai bu gou 	快不够	c=1 d=1.00764 t=14618
kuai bu gou yong 	快不够用	c=1 d=0.941765 t=14618
kuai dian 	快点	c=1 d=0.786628 t=14618
kuai jie jian 	快捷键	c=13 d=6.34849 t=14618
kuai le 	快乐	c=1 d=0.847894 t=14618
kuai su 	快速	c=5 d=2.43958 t=14618
kuai zhao 	快照	c=2 d=1.44534 t=14618
kuan du 	宽度	c=7 d=5.29921 t=14618
kuang 	框	c=3 d=1.58247 t=14618
kuang jia 	框架	c=2 d=1.88412 t=14618
kuang ren 	诓人	c=1 d=0.951229 t=14618
kuang zhuai ku xuan 	框拽酷炫	c=1 d=0.831104 t=14618
kun bang 	捆绑	c=10 d=9.36984 t=14618
kun nan 	困难	c=1 d=0.506617 t=14618
kuo rong 	扩容	c=2 d=1.96042 t=14618
kuo zhan 	扩展	c=1 d=0.900325 t=14618
la pu la si 	拉普拉斯	c=1 d=0.97531 t=14618
la wo 	拉我	c=0 d=0.0798516 t=14618
lai 	来	c=27 d=7.43056 t=14618
lai de 	来的	c=3 d=2.23428 t=14618
lai de qiao 	来的巧	c=1 d=0.733447 t=14618
lai de zao 	来得早	c=1 d=0.726149 t=14618
lai dian 	来点	c=1 d=0.970446 t=14618
lai ge 	来个	c=1 d=0.985112 t=14618
lai hua 	来华	c=1 d=0.554327 t=14618
lai jin xing 	来进行	c=1 d=0.985112 t=14618
lai kan 	来看	c=2 d=1.57667 t=14618
lai le 	来了	c=1 d=0.946485 t=14618
lai shuo 	来说	c=1 d=0.980199 t=14618
lai yuan 	来源	c=1 d=0.856415 t=14618
lai zhe 	来着	c=2 d=0.891366 t=14618
lan de 	懒得	c=0 d=0.0913931 t=14618
lan le 	烂了	c=1 d=0.856415 t=14618
lan ting xu 	兰亭序	c=1 d=0.960789 t=14618
lan tu 	蓝图	c=0 d=0.0683861 t=14618
lan ya 	蓝牙	c=12 d=8.82794 t=14618
lan yu 	蓝玉	c=0 d=0.0927743 t=14618
lan yu a 	蓝玉啊	c=1 d=0.932394 t=14618
lang 	朗	c=0 d=0.157064 t=14618
lang bo 	朗伯	c=4 d=3.38994 t=14618
lang bo fu she 	朗伯辐射	c=1 d=0.774916 t=14618
lao 	牢	c=1 d=0.701173 t=14618
lao bai xing 	老百姓	c=4 d=2.67267 t=14618
lao deng 	老登	c=2 d=1.16545 t=14618
lao dong ren min 	劳动人民	c=1 d=0.519442 t=14618
lao gu shi 	老故事	c=1 d=0.794534 t=14618
lao jie 	老姐	c=2 d=1.11043 t=14618
lao shi 	老师	c=13 d=5.54512 t=14618
le 	了	c=87 d=13.9141 t=14618
le ba 	了吧	c=1 d=0.752014 t=14618
le he he 	乐呵呵	c=2 d=1.14241 t=14618
le ma 	了吗	c=1 d=0.878095 t=14618
le qu 	乐趣	c=1 d=0.927743 t=14618
le rang de 	勒让德	c=1 d=0.955997 t=14618
lei 	嘞	c=1 d=0.609571 t=14618
lei 	类	c=1 d=0.774916 t=14618
lei gui 	雷鬼	c=1 d=0.955997 t=14618
lei si 	类似	c=3 d=2.20291 t=14618
lei xing 	类型	c=1 d=1 t=14618
lei xing ti 	类星体	c=1 d=0.447088 t=14618
leng jing 	冷静	c=1 d=0.955997 t=14618
li 	力	c=4 d=2.92718 t=14618
li 	李	c=2 d=1.17835 t=14618
li 	里	c=19 d=7.8468 t=14618
li bu kai 	离不开	c=1 d=0.831104 t=14618
li cheng 	历程	c=2 d=1.18333 t=14618
li dan 	李旦	c=1 d=0.826959 t=14618
li de 	里的	c=9 d=5.0465 t=14618
li gong 	理工	c=3 d=2.69072 t=14618
li gong da xue 	理工大学	c=1 d=0.937067 t=14618
li hai le 	厉害了	c=1 d=0.444858 t=14618
li hu 	蠡湖	c=0 d=0.0794534 t=14618
li hu xiao qu 	蠡湖校区	c=1 d=0.798516 t=14618
li hui 	立绘	c=1 d=0.755784 t=14618
li jie 	力竭	c=4 d=2.31269 t=14618
li jie 	理解	c=9 d=3.41289 t=14618
li jing 	李璟	c=0 d=0.0995012 t=14618
li jing wen 	李璟文	c=1 d=1 t=14618
li lun 	理论	c=6 d=2.74734 t=14618
li lun shang 	理论上	c=1 d=0.826959 t=14618
li nian 	历年	c=1 d=0.83527 t=14618
li pu 	离谱	c=1 d=0.960789 t=14618
li ru 	例如	c=4 d=1.6325 t=14618
li shi 	历史	c=22 d=8.69968 t=14618
li xiang 	理想	c=1 d=0.597501 t=14618
li xue yuan 	理学院	c=3 d=2.45705 t=14618
li yong 	利用	c=6 d=2.15251 t=14618
li you 	理由	c=1 d=0.357007 t=14618
li zi 	例子	c=1 d=0.680451 t=14618
li zi 	粒子	c=2 d=1.50267 t=14618
li zi shu 	粒子数	c=9 d=6.89192 t=14618
lian 	连	c=2 d=1.30323 t=14618
lian dong 	联动	c=2 d=1.96079 t=14618
lian jie 	连接	c=15 d=7.69958 t=14618
lian jie 	链接	c=1 d=0.941765 t=14618
lian jie hao le 	连接好了	c=1 d=0.913931 t=14618
lian jie shang 	连接上	c=1 d=0.97531 t=14618
lian wang 	联网	c=1 d=0.615697 t=14618
lian xian 	连线	c=1 d=0.657047 t=14618
lian xiang 	联想	c=2 d=1.85214 t=14618
lian xiang zheng jiu zhe 	联想拯救者	c=2 d=1.77275 t=14618
lian xu 	连续	c=1 d=0.878095 t=14618
lian yu 	炼狱	c=1 d=1 t=14618
lian zuo 	连坐	c=0 d=0.0786628 t=14618
liang 	两	c=7 d=2.76713 t=14618
liang 	亮	c=1 d=0.970446 t=14618
liang 	量	c=5 d=1.99236 t=14618
liang bai 	两百	c=1 d=0.909373 t=14618
liang dan yi xing 	两弹一星	c=1 d=0.40657 t=14618
liang dao ti 	良导体	c=1 d=0.995012 t=14618
liang dian 	两点	c=1 d=0.647265 t=14618
liang du 	亮度	c=11 d=7.93963 t=14618
liang ge 	两个	c=11 d=3.30323 t=14618
liang hang 	两行	c=1 d=0.97531 t=14618
liang hao 	良好	c=1 d=0.970446 t=14618
liang jiu 	良久	c=1 d=0.18452 t=14618
liang nian 	两年	c=1 d=0.29523 t=14618
liang shou zhua 	两手抓	c=1 d=0.609571 t=14618
liang tian 	两天	c=4 d=2.04939 t=14618
liang xiao 	两小	c=0 d=0.151496 t=14618
liang xiao qiu 	两小球	c=10 d=4.39403 t=14618
liang xiao qiu 	量小球	c=1 d=0.603506 t=14618
liang xiao shi 	两小时	c=1 d=0.425283 t=14618
liang xiao tan 	两小弹	c=1 d=0.83527 t=14618
liang zhe 	两者	c=2 d=1.83173 t=14618
liao bu de 	了不得	c=1 d=0.449329 t=14618
liao bu de le 	了不得了	c=1 d=0.941765 t=14618
liao jie 	了解	c=2 d=1.37029 t=14618
liao le 	聊了	c=3 d=1.8355 t=14618
liao tian 	聊天	c=3 d=2.61741 t=14618
liao tian shi 	聊天室	c=2 d=1.57097 t=14618
lie 	列	c=1 d=0.410656 t=14618
lie biao 	列表	c=1 d=0.45612 t=14618
lie chu 	列出	c=1 d=0.918512 t=14618
lie shu 	列数	c=1 d=0.937067 t=14618
ling 	令	c=2 d=1.84163 t=14618
ling dao xia 	领导下	c=1 d=0.519442 t=14618
ling huo 	灵活	c=1 d=0.733447 t=14618
ling min du 	灵敏度	c=1 d=0.818731 t=14618
ling ren 	令人	c=1 d=0.818731 t=14618
ling shan 	灵山	c=1 d=0.771052 t=14618
ling shi 	零食	c=1 d=0.810584 t=14618
ling wai 	另外	c=1 d=0.439317 t=14618
ling wai liang ge 	另外两个	c=1 d=0.985112 t=14618
ling yi ge 	另一个	c=1 d=0.923116 t=14618
ling yu 	领域	c=5 d=2.44854 t=14618
liu 	六	c=2 d=1.78107 t=14618
liu 	流	c=1 d=0.985112 t=14618
liu 	留	c=1 d=0.843665 t=14618
liu chang 	流畅	c=1 d=0.946485 t=14618
liu cheng 	流程	c=4 d=2.99171 t=14618
liu gei 	留给	c=0 d=0.0597501 t=14618
liu gei ni de 	留给你的	c=2 d=1.204 t=14618
liu ji 	六级	c=4 d=3.06603 t=14618
liu lan qi 	浏览器	c=10 d=5.08639 t=14618
liu liang ka 	流量卡	c=2 d=1.85662 t=14618
liu yuan 	榴园	c=1 d=0.810584 t=14618
long 	龙	c=5 d=3.49014 t=14618
long ge 	龙哥	c=1 d=0.91061 t=14618
long ge ku ta 	龙哥库塔	c=1 d=0.367879 t=14618
long ge ku ta fa 	龙格库塔法	c=2 d=1.06432 t=14618
long jian 	龙剑	c=0 d=0.097531 t=14618
long jian zhuan 	龙剑转	c=1 d=0.980199 t=14618
long juan 	龙卷	c=1 d=0.99005 t=14618
